Index,Index1,Asset_Name,Asset_Type,Sector,Funds_Name,Rating,Fund Class,Value,Percentage
8917,,Hind Zinc,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Regular Plan (G),,,9.63,0.31
8918,,Oil India,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Regular Plan (G),,,9.2,0.3
8919,,Guj Mineral,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Regular Plan (G),,,8.13,0.26
8920,,Ambuja Cements,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Regular Plan (G),,,7.72,0.25
8921,,Divis Labs,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Regular Plan (G),,,6.19,0.2
8922,,GlaxoSmith Con,Equity,Food & Beverages,ICICI Prudential Equity Income Fund - Regular Plan (G),,,5.47,0.18
8923,,Cyient,Equity,Information Technology,ICICI Prudential Equity Income Fund - Regular Plan (G),,,5.32,0.17
8924,,GAIL,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Regular Plan (G),,,4.74,0.15
8925,,UltraTechCement,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Regular Plan (G),,,4.47,0.14
8926,,SAIL,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Regular Plan (G),,,4.48,0.14
8927,,GE Shipping,Equity,Services,ICICI Prudential Equity Income Fund - Regular Plan (G),,,3.73,0.12
8928,,HUL,Equity,Consumer Non-durables,ICICI Prudential Equity Income Fund - Regular Plan (G),,,3.62,0.12
8929,,Dr Reddys Labs,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Regular Plan (G),,,1.97,0.06
8930,,ACC,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Regular Plan (G),,,1.3,0.04
8931,,Wipro,Equity,Information Technology,ICICI Prudential Equity Income Fund - Regular Plan (G),,,1.1,0.04
8932,,Maruti Suzuki,Equity,Automotive,ICICI Prudential Equity Income Fund - Regular Plan (G),,,0.78,0.02
8933,,Thomas Cook,Equity,Miscellaneous,ICICI Prudential Equity Income Fund - Regular Plan (G),,,0.29,0.01
8934,,Cash Margin - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,44.02,1.42
8935,,Tata Steel Ltd. (Right Share),Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,1.87,0.06
8936,,Tata Steel Ltd. Partly Paid Shares (Right Share),Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,0.43,0.01
8937,,HDFC Ltd.,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,0.03,0
8938,,Larsen & Toubro Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-118.16,-3.81
8939,,Axis Bank Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-117.87,-3.8
8940,,Bharti Airtel Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-86.9,-2.8
8941,,Infosys Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-66.62,-2.15
8942,,Oil & Natural Gas Corporation Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-66.8,-2.15
8943,,Interglobe Aviation Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-64.52,-2.08
8944,,Tech Mahindra Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-59.58,-1.92
8945,,State Bank Of India - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-55.97,-1.8
8946,,Sun Pharmaceutical Industries Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-52.99,-1.71
8947,,Tata Chemicals Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-46.87,-1.51
8948,,Tata Consultancy Services Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-46.78,-1.51
8949,,Tata Steel Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-45.14,-1.45
8950,,Hindalco Industries Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-43.1,-1.39
8951,,Lupin Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-39.33,-1.27
8952,,ICICI Bank Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-36.25,-1.17
8953,,IDFC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-34.19,-1.1
8954,,Reliance Industries Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-31.7,-1.02
8955,,NTPC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-30.18,-0.97
8956,,Tata Motors Ltd. - DVR - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-29.38,-0.95
8957,,Tata Motors Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-26.38,-0.85
8958,,Zee Entertainment Enterprises Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-25.38,-0.82
8959,,Titan Company Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-24.64,-0.79
8960,,Aurobindo Pharma Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-24.51,-0.79
8961,,Power Grid Corporation Of India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-21.55,-0.69
8962,,ITC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-20.09,-0.65
8963,,Cipla Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-19.41,-0.63
8964,,Container Corporation of India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-17.34,-0.56
8965,,Tata Global Beverages Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-16.57,-0.53
8966,,Tata Power Company Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-15.72,-0.51
8967,,Adani Ports and Special Economic Zone Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-15.09,-0.49
8968,,Motherson Sumi Systems Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-13.34,-0.43
8969,,HCL Technologies Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-11.8,-0.38
8970,,Indian Oil Corporation Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-11.01,-0.35
8971,,Castrol India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-10.48,-0.34
8972,,Hindustan Zinc Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-9.6,-0.31
8973,,Oil India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-9,-0.29
8974,,Ambuja Cements Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-7.7,-0.25
8975,,Divis Laboratories Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-6.16,-0.2
8976,,The Federal Bank Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-4.99,-0.16
8977,,Steel Authority Of India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-4.5,-0.15
8978,,Ultratech Cement Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-4.47,-0.14
8979,,Hindustan Unilever Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-3.38,-0.11
8980,,Dr. Reddys Laboratories Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-1.9,-0.06
8981,,ACC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,-1.31,-0.04
8982,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,217.74,7.01
8983,,Non-Convertible debentures / Bonds / Unlisted,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,79.82,2.57
8984,,Writers And Publishers Pvt. Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),BWR AA-,,79.82,2.57
8985,,Deposits (maturity not exceeding 91 days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,105.08,3.38
8986,,Deutsche Bank,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,105.08,3.38
8987,,Deposits (Placed as Margin),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,217,6.99
8988,,HDFC Bank Ltd. - 04 Apr 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,40,1.29
8989,,HDFC Bank Ltd. - 23 Mar 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,40,1.29
8990,,HDFC Bank Ltd. - 24 Apr 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,37,1.19
8991,,HDFC Bank Ltd. - 01 Mar 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,30,0.97
8992,,HDFC Bank Ltd. - 02 May 2018 (Duration - 92 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,25,0.81
8993,,Kotak Mahindra Bank Ltd. - 02 Feb 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,25,0.81
8994,,HDFC Bank Ltd. - 01 Feb 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,10,0.32
8995,,NTPC Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),CRISIL AAA,,0.96,0.03
8996,,Vedanta Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),CRISIL AA,,25.66,0.83
8997,,Axis Bank Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),CRISIL AA+,,49.43,1.59
8998,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,56.49,1.82
8999,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,42.61,1.37
9000,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,41.1,1.32
9001,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,22.45,0.72
9002,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,14.89,0.48
9003,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,14.85,0.48
9004,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,14.73,0.47
9005,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),SOV,,10.63,0.34
9006,,Non-Convertible debentures / Bonds,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,285.64,9.2
9007,,ICICI Bank Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),ICRA AA+,,85.45,2.75
9008,,Axis Bank Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),CRISIL AA+,,73.93,2.38
9009,,IndusInd Bank Ltd.,Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),CRISIL AA,,50.2,1.62
9010,,HDFC Bank Ltd. - 26 Apr 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Regular Plan (G),,,10,0.32
9011,,Net Current Assets,Cash / Call,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,1425.23,45.91
9012,,CBLO,Cash / Call,,ICICI Prudential Equity Income Fund - Regular Plan (G),-,,37.24,1.2
9013,,Axis Bank,Equity,Banking & Financial Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,142.46,4.59
9014,,Larsen,Equity,Engineering & Capital Goods,ICICI Prudential Equity Income Fund - Direct Plan (G),,,141.65,4.56
9015,,Bharti Airtel,Equity,Telecommunication,ICICI Prudential Equity Income Fund - Direct Plan (G),,,100.74,3.24
9016,,ONGC,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Direct Plan (G),,,100.5,3.24
9017,,NTPC,Equity,Utilities,ICICI Prudential Equity Income Fund - Direct Plan (G),,,94.05,3.03
9018,,Infosys,Equity,Information Technology,ICICI Prudential Equity Income Fund - Direct Plan (G),,,90.79,2.92
9019,,ICICI Bank,Equity,Banking & Financial Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,82.18,2.65
9020,,SBI,Equity,Banking & Financial Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,81.23,2.62
9021,,Sun Pharma,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,71.88,2.32
9022,,Interglobe Avi,Equity,Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,64.34,2.07
9023,,Tech Mahindra,Equity,Information Technology,ICICI Prudential Equity Income Fund - Direct Plan (G),,,61.27,1.97
9024,,Tata Chemicals,Equity,Chemicals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,61.08,1.97
9025,,Zee Entertain,Equity,Media & Entertainment,ICICI Prudential Equity Income Fund - Direct Plan (G),,,60.14,1.94
9026,,Power Grid Corp,Equity,Utilities,ICICI Prudential Equity Income Fund - Direct Plan (G),,,59.38,1.91
9027,,Tata Motors (D),Equity,Automotive,ICICI Prudential Equity Income Fund - Direct Plan (G),,,56.09,1.81
9028,,Hindalco,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Direct Plan (G),,,48.11,1.55
9029,,TCS,Equity,Information Technology,ICICI Prudential Equity Income Fund - Direct Plan (G),,,46.67,1.5
9030,,ITC,Equity,Tobacco,ICICI Prudential Equity Income Fund - Direct Plan (G),,,44.56,1.44
9031,,Tata Steel,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Direct Plan (G),,,42.3,1.36
9032,,IOC,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Direct Plan (G),,,41.39,1.33
9033,,Cipla,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,39.73,1.28
9034,,Lupin,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,39.2,1.26
9035,,IDFC,Equity,Banking & Financial Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,34.12,1.1
9036,,HCL Tech,Equity,Information Technology,ICICI Prudential Equity Income Fund - Direct Plan (G),,,31.55,1.02
9037,,Reliance,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Direct Plan (G),,,31.57,1.02
9038,,Tata Motors,Equity,Automotive,ICICI Prudential Equity Income Fund - Direct Plan (G),,,26.36,0.85
9039,,Tata Power,Equity,Utilities,ICICI Prudential Equity Income Fund - Direct Plan (G),,,25.72,0.83
9040,,Coal India,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Direct Plan (G),,,25.32,0.82
9041,,Federal Bank,Equity,Banking & Financial Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,25.11,0.81
9042,,Titan Company,Equity,Miscellaneous,ICICI Prudential Equity Income Fund - Direct Plan (G),,,24.52,0.79
9043,,Aurobindo Pharm,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,24.55,0.79
9044,,Shree Cements,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Direct Plan (G),,,19.23,0.62
9045,,Container Corp,Equity,Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,17.38,0.56
9046,,CESC,Equity,Utilities,ICICI Prudential Equity Income Fund - Direct Plan (G),,,17.12,0.55
9047,,Tata Global Bev,Equity,Food & Beverages,ICICI Prudential Equity Income Fund - Direct Plan (G),,,16.51,0.53
9048,,Galaxy Surfact,Equity,Miscellaneous,ICICI Prudential Equity Income Fund - Direct Plan (G),,,14.8,0.48
9049,,Castrol,Equity,Chemicals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,14.83,0.48
9050,,HDFC Bank,Equity,Banking & Financial Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,15.01,0.48
9051,,Adani Ports,Equity,Engineering & Capital Goods,ICICI Prudential Equity Income Fund - Direct Plan (G),,,15.01,0.48
9052,,Gujarat Pipavav,Equity,Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,14.41,0.46
9053,,Motherson Sumi,Equity,Automotive,ICICI Prudential Equity Income Fund - Direct Plan (G),,,13.31,0.43
9054,,BPCL,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Direct Plan (G),,,13.19,0.42
9055,,NHPC,Equity,Utilities,ICICI Prudential Equity Income Fund - Direct Plan (G),,,11.91,0.38
9056,,SBI Life Insura,Equity,Conglomerates,ICICI Prudential Equity Income Fund - Direct Plan (G),,,9.82,0.32
9057,,Hind Zinc,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Direct Plan (G),,,9.63,0.31
9058,,Oil India,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Direct Plan (G),,,9.2,0.3
9059,,Guj Mineral,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Direct Plan (G),,,8.13,0.26
9060,,Ambuja Cements,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Direct Plan (G),,,7.72,0.25
9061,,Divis Labs,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,6.19,0.2
9062,,GlaxoSmith Con,Equity,Food & Beverages,ICICI Prudential Equity Income Fund - Direct Plan (G),,,5.47,0.18
9063,,Cyient,Equity,Information Technology,ICICI Prudential Equity Income Fund - Direct Plan (G),,,5.32,0.17
9064,,GAIL,Equity,Oil & Gas,ICICI Prudential Equity Income Fund - Direct Plan (G),,,4.74,0.15
9065,,UltraTechCement,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Direct Plan (G),,,4.47,0.14
9066,,SAIL,Equity,Metals & Mining,ICICI Prudential Equity Income Fund - Direct Plan (G),,,4.48,0.14
9067,,GE Shipping,Equity,Services,ICICI Prudential Equity Income Fund - Direct Plan (G),,,3.73,0.12
9068,,HUL,Equity,Consumer Non-durables,ICICI Prudential Equity Income Fund - Direct Plan (G),,,3.62,0.12
9069,,Dr Reddys Labs,Equity,Pharmaceuticals,ICICI Prudential Equity Income Fund - Direct Plan (G),,,1.97,0.06
9070,,ACC,Equity,Cement & Construction,ICICI Prudential Equity Income Fund - Direct Plan (G),,,1.3,0.04
9071,,Wipro,Equity,Information Technology,ICICI Prudential Equity Income Fund - Direct Plan (G),,,1.1,0.04
9072,,Maruti Suzuki,Equity,Automotive,ICICI Prudential Equity Income Fund - Direct Plan (G),,,0.78,0.02
9073,,Thomas Cook,Equity,Miscellaneous,ICICI Prudential Equity Income Fund - Direct Plan (G),,,0.29,0.01
9074,,Cash Margin - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,44.02,1.42
9075,,Tata Steel Ltd. (Right Share),Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,1.87,0.06
9076,,Tata Steel Ltd. Partly Paid Shares (Right Share),Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,0.43,0.01
9077,,HDFC Ltd.,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,0.03,0
9078,,Larsen & Toubro Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-118.16,-3.81
9079,,Axis Bank Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-117.87,-3.8
9080,,Bharti Airtel Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-86.9,-2.8
9081,,Infosys Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-66.62,-2.15
9082,,Oil & Natural Gas Corporation Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-66.8,-2.15
9083,,Interglobe Aviation Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-64.52,-2.08
9084,,Tech Mahindra Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-59.58,-1.92
9085,,State Bank Of India - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-55.97,-1.8
9086,,Sun Pharmaceutical Industries Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-52.99,-1.71
9087,,Tata Chemicals Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-46.87,-1.51
9088,,Tata Consultancy Services Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-46.78,-1.51
9089,,Tata Steel Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-45.14,-1.45
9090,,Hindalco Industries Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-43.1,-1.39
9091,,Lupin Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-39.33,-1.27
9092,,ICICI Bank Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-36.25,-1.17
9093,,IDFC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-34.19,-1.1
9094,,Reliance Industries Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-31.7,-1.02
9095,,NTPC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-30.18,-0.97
9096,,Tata Motors Ltd. - DVR - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-29.38,-0.95
9097,,Tata Motors Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-26.38,-0.85
9098,,Zee Entertainment Enterprises Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-25.38,-0.82
9099,,Titan Company Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-24.64,-0.79
9100,,Aurobindo Pharma Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-24.51,-0.79
9101,,Power Grid Corporation Of India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-21.55,-0.69
9102,,ITC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-20.09,-0.65
9103,,Cipla Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-19.41,-0.63
9104,,Container Corporation of India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-17.34,-0.56
9105,,Tata Global Beverages Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-16.57,-0.53
9106,,Tata Power Company Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-15.72,-0.51
9107,,Adani Ports and Special Economic Zone Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-15.09,-0.49
9108,,Motherson Sumi Systems Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-13.34,-0.43
9109,,HCL Technologies Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-11.8,-0.38
9110,,Indian Oil Corporation Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-11.01,-0.35
9111,,Castrol India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-10.48,-0.34
9112,,Hindustan Zinc Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-9.6,-0.31
9113,,Oil India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-9,-0.29
9114,,Ambuja Cements Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-7.7,-0.25
9115,,Divis Laboratories Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-6.16,-0.2
9116,,The Federal Bank Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-4.99,-0.16
9117,,Steel Authority Of India Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-4.5,-0.15
9118,,Ultratech Cement Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-4.47,-0.14
9119,,Hindustan Unilever Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-3.38,-0.11
9120,,Dr. Reddys Laboratories Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-1.9,-0.06
9121,,ACC Ltd. - Derivatives,Others / Unlisted,,ICICI Prudential Equity Income Fund - Direct Plan (G),-,,-1.31,-0.04
9122,,Government Securities,Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),,,217.74,7.01
9123,,Non-Convertible debentures / Bonds / Unlisted,Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),,,79.82,2.57
9124,,Writers And Publishers Pvt. Ltd.,Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),BWR AA-,,79.82,2.57
9125,,Deposits (maturity not exceeding 91 days),Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),,,105.08,3.38
9126,,Deutsche Bank,Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),,,105.08,3.38
9127,,Deposits (Placed as Margin),Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),,,217,6.99
9128,,HDFC Bank Ltd. - 04 Apr 2018 (Duration - 91 Days),Debt,,ICICI Prudential Equity Income Fund - Direct Plan (G),,,40,1.29
